Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona,,,,,,,
Project,"MA-Polyvinylpyrrolidone-1,2,dichloroethane-Chlorobenzene-Nitrobenzene-n-Butyl Acetate",,,,,,,
Reactor1,"15.14 mg/ml Polyvinylpyrrolidone in 1,2,dichloroethane",2-dichloroethane,,,,,,
Reactor2,15.18 mg/ml Polyvinylpyrrolidone in Chlorobenzene,,,,,,,
Reactor3,14.8 mg/ml Polyvinylpyrrolidone in Nitrobenzene,,,,,,,
Reactor4,15.16 mg/ml Polyvinylpyrrolidone in n-Butyl Acetate,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,Polyvinylpyrrolidone:32,,,,,,,
solvent_ids,"1,2,dichloroethane:37",Chlorobenzene:10,Nitrobenzene:9,n-Butyl Acetate:40,,,,
Start of Experiment,1/25/24 12:23,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,C,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,16, sec,,,,
Tune,,,,,,,,
1/25/24 12:48,0:25:00,30.2,30.2,40,95,100,8,0
1/25/24 12:48,0:25:01,30.3,30.2,39,95,100,8,0
1/25/24 12:48,0:25:02,30.3,30.2,39,94,100,8,0
1/25/24 12:48,0:25:03,30.3,30.2,39,94,100,8,0
1/25/24 12:48,0:25:04,30.3,30.2,39,94,100,8,0
1/25/24 12:48,0:25:05,30.3,30.2,40,94,100,8,0
1/25/24 12:48,0:25:06,30.3,30.2,39,94,100,8,0
1/25/24 12:48,0:25:07,30.3,30.2,40,94,100,8,0
1/25/24 12:48,0:25:08,30.3,30.2,39,94,100,8,0
1/25/24 12:48,0:25:09,30.3,30.2,40,93,100,8,0
1/25/24 12:48,0:25:10,30.3,30.3,40,94,100,8,0
1/25/24 12:48,0:25:11,30.3,30.3,40,94,100,8,0
1/25/24 12:48,0:25:12,30.3,30.3,40,94,100,9,0
1/25/24 12:48,0:25:13,30.4,30.3,40,93,100,7,0
1/25/24 12:48,0:25:14,30.4,30.3,40,93,100,8,0
1/25/24 12:48,0:25:15,30.4,30.3,40,93,100,8,0
1/25/24 12:48,0:25:16,30.4,30.3,40,94,100,7,0
1/25/24 12:48,0:25:17,30.4,30.3,40,93,100,8,0
1/25/24 12:48,0:25:18,30.4,30.3,41,94,100,8,0
1/25/24 12:48,0:25:19,30.4,30.3,41,94,100,8,0
1/25/24 12:48,0:25:20,30.4,30.3,40,93,100,9,0
1/25/24 12:48,0:25:21,30.4,30.4,41,93,100,9,0
1/25/24 12:48,0:25:22,30.4,30.4,40,94,100,8,0
1/25/24 12:48,0:25:23,30.4,30.4,40,94,100,8,0
1/25/24 12:48,0:25:24,30.4,30.4,40,93,100,8,0
1/25/24 12:48,0:25:25,30.5,30.4,41,94,100,8,0
1/25/24 12:48,0:25:26,30.5,30.4,40,94,100,7,0
1/25/24 12:48,0:25:27,30.5,30.4,40,93,100,9,0
1/25/24 12:48,0:25:28,30.5,30.4,41,94,100,9,0
1/25/24 12:48,0:25:29,30.5,30.4,40,94,100,8,0
1/25/24 12:48,0:25:30,30.5,30.4,40,94,100,9,0
1/25/24 12:48,0:25:31,30.5,30.4,41,93,100,8,0
1/25/24 12:48,0:25:32,30.5,30.4,40,94,100,8,0
1/25/24 12:49,0:25:33,30.5,30.4,40,93,100,9,0
1/25/24 12:49,0:25:34,30.5,30.4,41,93,100,8,0
1/25/24 12:49,0:25:36,30.5,30.5,41,94,100,8,0
1/25/24 12:49,0:25:37,30.6,30.5,41,93,100,9,0
1/25/24 12:49,0:25:38,30.6,30.5,41,94,100,9,0
1/25/24 12:49,0:25:39,30.6,30.5,41,92,100,8,0
1/25/24 12:49,0:25:40,30.6,30.5,41,94,100,9,0
1/25/24 12:49,0:25:41,30.6,30.5,42,94,100,9,0
1/25/24 12:49,0:25:42,30.6,30.5,41,93,100,9,0
1/25/24 12:49,0:25:43,30.6,30.5,41,93,100,8,0
1/25/24 12:49,0:25:44,30.6,30.5,41,94,100,7,0
1/25/24 12:49,0:25:45,30.6,30.5,41,94,100,9,0
1/25/24 12:49,0:25:46,30.6,30.6,41,93,100,8,0
1/25/24 12:49,0:25:47,30.6,30.6,41,93,100,8,0
1/25/24 12:49,0:25:48,30.6,30.6,41,94,100,8,0
1/25/24 12:49,0:25:49,30.7,30.6,41,94,100,7,0
1/25/24 12:49,0:25:50,30.7,30.6,41,94,100,8,0
1/25/24 12:49,0:25:51,30.7,30.6,41,93,100,9,0
1/25/24 12:49,0:25:52,30.7,30.6,41,93,100,9,0
1/25/24 12:49,0:25:53,30.7,30.6,41,94,100,9,0
1/25/24 12:49,0:25:54,30.7,30.6,41,94,100,8,0
1/25/24 12:49,0:25:55,30.7,30.6,41,94,100,8,0
1/25/24 12:49,0:25:56,30.7,30.6,42,94,100,7,0
1/25/24 12:49,0:25:57,30.7,30.7,42,94,100,7,0
1/25/24 12:49,0:25:58,30.7,30.7,42,93,100,8,0
1/25/24 12:49,0:25:59,30.7,30.7,41,94,100,9,0
1/25/24 12:49,0:26:00,30.7,30.7,42,94,100,8,0
1/25/24 12:49,0:26:01,30.8,30.7,41,94,100,8,0
1/25/24 12:49,0:26:02,30.8,30.7,41,94,100,9,0
1/25/24 12:49,0:26:03,30.8,30.7,42,94,100,8,0
1/25/24 12:49,0:26:04,30.8,30.7,42,92,100,9,0
1/25/24 12:49,0:26:05,30.8,30.7,42,94,100,8,0
1/25/24 12:49,0:26:06,30.8,30.7,42,94,100,9,0
1/25/24 12:49,0:26:07,30.8,30.7,42,94,100,9,0
1/25/24 12:49,0:26:08,30.8,30.7,42,94,100,8,0
1/25/24 12:49,0:26:09,30.8,30.8,42,92,100,7,0
1/25/24 12:49,0:26:10,30.8,30.8,42,93,100,7,0
1/25/24 12:49,0:26:11,30.8,30.8,42,94,100,9,0
1/25/24 12:49,0:26:12,30.8,30.8,42,93,100,7,0
1/25/24 12:49,0:26:13,30.9,30.8,41,93,100,8,0
1/25/24 12:49,0:26:14,30.9,30.8,41,94,100,8,0
1/25/24 12:49,0:26:15,30.9,30.8,41,93,100,9,0
1/25/24 12:49,0:26:16,30.9,30.8,42,94,100,8,0
1/25/24 12:49,0:26:17,30.9,30.8,41,94,100,8,0
1/25/24 12:49,0:26:18,30.9,30.8,41,94,100,8,0
1/25/24 12:49,0:26:19,30.9,30.8,42,94,100,8,0
1/25/24 12:49,0:26:20,30.9,30.8,42,94,100,8,0
1/25/24 12:49,0:26:21,30.9,30.9,42,92,100,9,0
1/25/24 12:49,0:26:22,30.9,30.9,43,94,100,9,0
1/25/24 12:49,0:26:23,30.9,30.9,42,93,100,8,0
1/25/24 12:49,0:26:24,30.9,30.9,42,94,100,9,0
1/25/24 12:49,0:26:25,31,30.9,43,94,100,8,0
1/25/24 12:49,0:26:26,31,30.9,42,94,100,8,0
1/25/24 12:49,0:26:27,31,30.9,43,94,100,8,0
1/25/24 12:49,0:26:28,31,30.9,43,94,100,8,0
1/25/24 12:49,0:26:29,31,30.9,43,93,100,9,0
1/25/24 12:49,0:26:30,31,30.9,43,94,100,8,0
1/25/24 12:49,0:26:31,31,30.9,43,93,100,7,0
1/25/24 12:49,0:26:32,31,30.9,43,93,100,8,0
1/25/24 12:50,0:26:33,31,30.9,43,94,100,7,0
1/25/24 12:50,0:26:34,31,31,43,92,100,9,0
1/25/24 12:50,0:26:35,31,31,43,94,100,8,0
1/25/24 12:50,0:26:36,31,31,43,94,100,9,0
1/25/24 12:50,0:26:37,31.1,31,44,93,100,8,0
1/25/24 12:50,0:26:38,31.1,31,43,93,100,7,0
1/25/24 12:50,0:26:39,31.1,31,44,94,100,8,0
1/25/24 12:50,0:26:40,31.1,31,44,94,100,8,0
1/25/24 12:50,0:26:41,31.1,31,43,94,100,8,0
1/25/24 12:50,0:26:42,31.1,31,44,94,100,7,0
1/25/24 12:50,0:26:43,31.1,31,44,94,100,8,0
1/25/24 12:50,0:26:44,31.1,31.1,44,92,100,8,0
1/25/24 12:50,0:26:45,31.1,31.1,44,94,100,8,0
1/25/24 12:50,0:26:46,31.1,31.1,44,94,100,8,0
1/25/24 12:50,0:26:48,31.1,31.1,44,94,100,9,0
1/25/24 12:50,0:26:49,31.2,31.1,44,93,100,8,0
1/25/24 12:50,0:26:50,31.2,31.1,45,94,100,9,0
1/25/24 12:50,0:26:51,31.2,31.1,45,94,100,8,0
1/25/24 12:50,0:26:52,31.2,31.1,45,94,100,8,0
1/25/24 12:50,0:26:53,31.2,31.1,44,93,100,8,0
1/25/24 12:50,0:26:54,31.2,31.1,44,94,100,9,0
1/25/24 12:50,0:26:55,31.2,31.1,45,94,100,8,0
1/25/24 12:50,0:26:56,31.2,31.1,44,94,100,8,0
1/25/24 12:50,0:26:57,31.2,31.1,44,94,100,8,0
1/25/24 12:50,0:26:58,31.2,31.2,45,93,100,8,0
1/25/24 12:50,0:26:59,31.2,31.2,44,93,100,8,0
1/25/24 12:50,0:27:00,31.2,31.2,45,94,100,8,0
1/25/24 12:50,0:27:01,31.3,31.2,45,92,100,9,0
1/25/24 12:50,0:27:02,31.3,31.2,45,92,100,8,0
1/25/24 12:50,0:27:03,31.3,31.2,45,89,100,8,0
1/25/24 12:50,0:27:04,31.3,31.2,45,90,100,7,0
1/25/24 12:50,0:27:05,31.3,31.2,45,91,100,8,0
1/25/24 12:50,0:27:06,31.3,31.2,45,90,100,8,0
1/25/24 12:50,0:27:07,31.3,31.2,45,85,100,7,0
1/25/24 12:50,0:27:08,31.3,31.2,45,87,100,8,0
1/25/24 12:50,0:27:09,31.3,31.3,46,84,100,8,0
1/25/24 12:50,0:27:10,31.3,31.3,46,90,100,9,0
1/25/24 12:50,0:27:11,31.3,31.3,46,90,100,7,0
1/25/24 12:50,0:27:12,31.3,31.3,46,90,100,9,0
1/25/24 12:50,0:27:13,31.4,31.3,45,89,100,7,0
1/25/24 12:50,0:27:14,31.4,31.3,45,89,100,9,0
1/25/24 12:50,0:27:15,31.4,31.3,46,90,100,8,0
1/25/24 12:50,0:27:16,31.4,31.3,46,89,100,9,0
1/25/24 12:50,0:27:17,31.4,31.3,46,89,100,8,0
1/25/24 12:50,0:27:18,31.4,31.3,46,87,100,9,0
1/25/24 12:50,0:27:19,31.4,31.3,46,88,100,9,0
1/25/24 12:50,0:27:20,31.4,31.3,46,87,100,9,0
1/25/24 12:50,0:27:21,31.4,31.4,46,88,100,8,0
1/25/24 12:50,0:27:22,31.4,31.4,46,88,100,7,0
1/25/24 12:50,0:27:23,31.4,31.4,46,85,100,7,0
1/25/24 12:50,0:27:24,31.4,31.4,46,84,100,9,0
1/25/24 12:50,0:27:25,31.5,31.4,46,84,100,8,0
1/25/24 12:50,0:27:26,31.5,31.4,47,82,100,8,0
1/25/24 12:50,0:27:27,31.5,31.4,46,79,100,8,0
1/25/24 12:50,0:27:28,31.5,31.4,45,80,100,8,0
1/25/24 12:50,0:27:29,31.5,31.4,46,79,100,9,0
1/25/24 12:50,0:27:30,31.5,31.4,46,84,100,8,0
1/25/24 12:50,0:27:31,31.5,31.4,46,80,100,7,0
1/25/24 12:50,0:27:32,31.5,31.4,46,83,100,9,0
1/25/24 12:51,0:27:33,31.5,31.4,47,79,100,9,0
1/25/24 12:51,0:27:34,31.5,31.5,47,77,100,8,0
1/25/24 12:51,0:27:35,31.5,31.5,46,79,100,8,0
1/25/24 12:51,0:27:36,31.5,31.5,47,93,100,8,0
1/25/24 12:51,0:27:37,31.6,31.5,47,84,100,7,0
1/25/24 12:51,0:27:38,31.6,31.5,47,80,100,7,0
1/25/24 12:51,0:27:39,31.6,31.5,48,81,100,9,0
1/25/24 12:51,0:27:40,31.6,31.5,47,85,100,9,0
1/25/24 12:51,0:27:41,31.6,31.5,48,82,100,7,0
1/25/24 12:51,0:27:42,31.6,31.5,48,80,100,8,0
1/25/24 12:51,0:27:43,31.6,31.5,47,77,100,7,0
1/25/24 12:51,0:27:44,31.6,31.5,48,84,100,8,0
1/25/24 12:51,0:27:45,31.6,31.6,48,95,100,9,0
1/25/24 12:51,0:27:46,31.6,31.6,48,97,100,8,0
1/25/24 12:51,0:27:47,31.6,31.6,48,96,100,8,0
1/25/24 12:51,0:27:48,31.6,31.6,48,94,100,9,0
1/25/24 12:51,0:27:49,31.7,31.6,48,95,100,8,0
1/25/24 12:51,0:27:50,31.7,31.6,48,95,100,7,0
1/25/24 12:51,0:27:51,31.7,31.6,47,95,100,8,0
1/25/24 12:51,0:27:52,31.7,31.6,48,95,100,8,0
1/25/24 12:51,0:27:53,31.7,31.6,48,95,100,9,0
1/25/24 12:51,0:27:54,31.7,31.6,48,94,100,8,0
1/25/24 12:51,0:27:55,31.7,31.7,48,94,100,7,0
1/25/24 12:51,0:27:56,31.7,31.6,48,94,100,8,0
1/25/24 12:51,0:27:57,31.7,31.7,48,94,100,8,0
1/25/24 12:51,0:27:58,31.7,31.7,48,94,100,9,0
1/25/24 12:51,0:27:59,31.7,31.7,48,94,100,9,0
1/25/24 12:51,0:28:00,31.8,31.7,48,94,100,8,0
1/25/24 12:51,0:28:01,31.8,31.7,49,91,100,9,0
1/25/24 12:51,0:28:02,31.8,31.7,49,91,100,8,0
1/25/24 12:51,0:28:04,31.8,31.7,48,90,100,9,0
1/25/24 12:51,0:28:05,31.8,31.7,49,90,100,8,0
1/25/24 12:51,0:28:06,31.8,31.7,49,90,100,7,0
1/25/24 12:51,0:28:07,31.8,31.7,48,87,100,8,0
1/25/24 12:51,0:28:08,31.8,31.8,49,90,100,8,0
1/25/24 12:51,0:28:09,31.8,31.8,49,89,100,9,0
1/25/24 12:51,0:28:10,31.8,31.8,49,87,100,8,0
1/25/24 12:51,0:28:11,31.8,31.8,49,91,100,8,0
1/25/24 12:51,0:28:12,31.8,31.8,49,82,100,8,0
1/25/24 12:51,0:28:13,31.9,31.8,50,85,100,8,0
1/25/24 12:51,0:28:14,31.9,31.8,49,80,100,9,0
1/25/24 12:51,0:28:15,31.9,31.8,50,84,100,7,0
1/25/24 12:51,0:28:16,31.9,31.8,49,82,100,9,0
1/25/24 12:51,0:28:17,31.9,31.8,50,84,100,8,0
1/25/24 12:51,0:28:18,31.9,31.8,50,82,100,8,0
1/25/24 12:51,0:28:19,31.9,31.8,50,93,100,8,0
1/25/24 12:51,0:28:20,31.9,31.8,50,85,100,7,0
1/25/24 12:51,0:28:21,31.9,31.8,50,91,100,8,0
1/25/24 12:51,0:28:22,31.9,31.9,50,86,100,8,0
1/25/24 12:51,0:28:23,31.9,31.9,50,85,100,7,0
1/25/24 12:51,0:28:24,31.9,31.9,50,93,100,9,0
1/25/24 12:51,0:28:25,32,31.9,50,90,100,8,0
1/25/24 12:51,0:28:26,32,31.9,50,94,100,9,0
1/25/24 12:51,0:28:27,32,31.9,51,95,100,9,0
1/25/24 12:51,0:28:28,32,31.9,51,97,100,7,0
1/25/24 12:51,0:28:29,32,31.9,51,95,100,8,0
1/25/24 12:51,0:28:30,32,31.9,51,95,100,8,0
1/25/24 12:51,0:28:31,32,31.9,51,95,100,7,0
1/25/24 12:51,0:28:32,32,32,50,96,100,8,0
1/25/24 12:52,0:28:33,32,32,50,95,100,9,0
1/25/24 12:52,0:28:34,32,32,51,95,100,8,0
1/25/24 12:52,0:28:35,32,32,51,95,100,9,0
1/25/24 12:52,0:28:36,32,32,50,95,100,8,0
1/25/24 12:52,0:28:37,32.1,32,51,95,100,8,0
1/25/24 12:52,0:28:38,32.1,32,51,95,100,8,0
1/25/24 12:52,0:28:39,32.1,32,51,95,100,8,0
1/25/24 12:52,0:28:40,32.1,32,51,94,100,8,0
1/25/24 12:52,0:28:41,32.1,32,51,95,100,9,0
1/25/24 12:52,0:28:42,32.1,32,51,95,100,8,0
1/25/24 12:52,0:28:43,32.1,32,51,95,100,7,0
1/25/24 12:52,0:28:44,32.1,32,52,95,100,8,0
1/25/24 12:52,0:28:45,32.1,32,51,95,100,8,0
1/25/24 12:52,0:28:46,32.1,32.1,51,95,100,8,0
1/25/24 12:52,0:28:47,32.1,32.1,52,95,100,8,0
1/25/24 12:52,0:28:48,32.1,32.1,52,95,100,9,0
1/25/24 12:52,0:28:49,32.2,32.1,52,95,100,8,0
1/25/24 12:52,0:28:50,32.2,32.1,52,95,100,9,0
1/25/24 12:52,0:28:51,32.2,32.1,52,95,100,8,0
1/25/24 12:52,0:28:52,32.2,32.1,53,95,100,8,0
1/25/24 12:52,0:28:53,32.2,32.1,53,95,100,9,0
1/25/24 12:52,0:28:54,32.2,32.1,53,95,100,9,0
1/25/24 12:52,0:28:55,32.2,32.1,53,94,100,9,0
1/25/24 12:52,0:28:56,32.2,32.2,53,95,100,8,0
1/25/24 12:52,0:28:57,32.2,32.2,53,95,100,8,0
1/25/24 12:52,0:28:58,32.2,32.2,53,95,100,8,0
1/25/24 12:52,0:28:59,32.2,32.2,52,94,100,9,0
1/25/24 12:52,0:29:00,32.3,32.2,53,95,100,8,0
1/25/24 12:52,0:29:01,32.3,32.2,53,95,100,9,0
1/25/24 12:52,0:29:02,32.3,32.2,53,95,100,8,0
1/25/24 12:52,0:29:03,32.3,32.2,53,94,100,9,0
1/25/24 12:52,0:29:04,32.3,32.2,54,94,100,8,0
1/25/24 12:52,0:29:05,32.3,32.2,53,94,100,8,0
1/25/24 12:52,0:29:06,32.3,32.2,54,94,100,7,0
1/25/24 12:52,0:29:07,32.3,32.2,53,95,100,8,0
1/25/24 12:52,0:29:08,32.3,32.3,54,95,100,8,0
1/25/24 12:52,0:29:09,32.3,32.3,54,95,100,8,0
1/25/24 12:52,0:29:10,32.3,32.3,54,95,100,8,0
1/25/24 12:52,0:29:11,32.3,32.3,54,94,100,9,0
1/25/24 12:52,0:29:13,32.4,32.3,54,94,100,8,0
1/25/24 12:52,0:29:14,32.4,32.3,54,94,100,8,0
1/25/24 12:52,0:29:15,32.4,32.3,54,95,100,8,0
1/25/24 12:52,0:29:16,32.4,32.3,55,94,100,8,0
1/25/24 12:52,0:29:17,32.4,32.3,54,95,100,7,0
1/25/24 12:52,0:29:18,32.4,32.3,54,95,100,8,0
1/25/24 12:52,0:29:19,32.4,32.3,53,95,100,7,0
1/25/24 12:52,0:29:20,32.4,32.3,54,95,100,8,0
1/25/24 12:52,0:29:21,32.4,32.3,54,95,100,7,0
1/25/24 12:52,0:29:22,32.4,32.4,54,95,100,8,0
1/25/24 12:52,0:29:23,32.4,32.4,54,95,100,8,0
1/25/24 12:52,0:29:24,32.4,32.4,54,95,100,7,0
1/25/24 12:52,0:29:25,32.5,32.4,55,94,100,8,0
1/25/24 12:52,0:29:26,32.5,32.4,55,95,100,9,0
1/25/24 12:52,0:29:27,32.5,32.4,55,95,100,8,0
1/25/24 12:52,0:29:28,32.5,32.4,55,95,100,8,0
1/25/24 12:52,0:29:29,32.5,32.4,56,94,100,7,0
1/25/24 12:52,0:29:30,32.5,32.4,56,95,100,9,0
1/25/24 12:52,0:29:31,32.5,32.4,55,94,100,8,0
1/25/24 12:52,0:29:32,32.5,32.4,55,94,100,8,0
1/25/24 12:53,0:29:33,32.5,32.4,56,94,100,8,0
1/25/24 12:53,0:29:34,32.5,32.5,55,94,100,7,0
1/25/24 12:53,0:29:35,32.5,32.5,56,94,100,8,0
1/25/24 12:53,0:29:36,32.5,32.5,56,94,100,8,0
1/25/24 12:53,0:29:37,32.6,32.5,56,94,100,8,0
1/25/24 12:53,0:29:38,32.6,32.5,56,94,100,9,0
1/25/24 12:53,0:29:39,32.6,32.5,56,95,100,8,0
1/25/24 12:53,0:29:40,32.6,32.5,56,95,100,7,0
1/25/24 12:53,0:29:41,32.6,32.5,56,94,100,8,0
1/25/24 12:53,0:29:42,32.6,32.5,56,95,100,9,0
1/25/24 12:53,0:29:43,32.6,32.5,56,94,100,8,0
1/25/24 12:53,0:29:44,32.6,32.6,56,94,100,9,0
1/25/24 12:53,0:29:45,32.6,32.5,56,94,100,9,0
1/25/24 12:53,0:29:46,32.6,32.6,56,94,100,8,0
1/25/24 12:53,0:29:47,32.6,32.6,57,94,100,8,0
1/25/24 12:53,0:29:48,32.6,32.6,57,95,100,9,0
1/25/24 12:53,0:29:49,32.7,32.6,57,95,100,8,0
1/25/24 12:53,0:29:50,32.7,32.6,57,94,100,8,0
1/25/24 12:53,0:29:51,32.7,32.6,57,94,100,7,0
1/25/24 12:53,0:29:52,32.7,32.6,58,94,100,9,0
1/25/24 12:53,0:29:53,32.7,32.6,58,95,100,8,0
1/25/24 12:53,0:29:54,32.7,32.6,58,95,100,8,0
1/25/24 12:53,0:29:55,32.7,32.6,58,96,100,8,0
1/25/24 12:53,0:29:56,32.7,32.6,58,95,100,8,0
1/25/24 12:53,0:29:57,32.7,32.6,58,95,100,8,0
1/25/24 12:53,0:29:58,32.7,32.7,58,95,100,8,0
1/25/24 12:53,0:29:59,32.7,32.7,58,94,100,8,0
1/25/24 12:53,0:30:00,32.7,32.7,58,95,100,7,0
1/25/24 12:53,0:30:01,32.8,32.7,58,95,100,8,0
1/25/24 12:53,0:30:02,32.8,32.7,59,94,100,8,0
1/25/24 12:53,0:30:03,32.8,32.7,58,96,100,9,0
1/25/24 12:53,0:30:04,32.8,32.7,59,95,100,7,0
1/25/24 12:53,0:30:05,32.8,32.7,59,94,100,8,0
1/25/24 12:53,0:30:06,32.8,32.7,59,94,100,8,0
1/25/24 12:53,0:30:07,32.8,32.8,59,95,100,7,0
1/25/24 12:53,0:30:08,32.8,32.8,59,94,100,8,0
1/25/24 12:53,0:30:09,32.8,32.8,59,95,100,8,0
1/25/24 12:53,0:30:10,32.8,32.8,59,95,100,9,0
1/25/24 12:53,0:30:11,32.8,32.8,59,95,100,8,0
1/25/24 12:53,0:30:12,32.9,32.8,59,95,100,8,0
1/25/24 12:53,0:30:13,32.9,32.8,59,96,100,8,0
1/25/24 12:53,0:30:14,32.9,32.8,59,95,100,8,0
1/25/24 12:53,0:30:15,32.9,32.8,59,94,100,8,0
1/25/24 12:53,0:30:16,32.9,32.8,60,95,100,9,0
1/25/24 12:53,0:30:17,32.9,32.8,59,94,100,8,0
1/25/24 12:53,0:30:18,32.9,32.8,60,92,100,7,0
1/25/24 12:53,0:30:19,32.9,32.8,60,92,100,7,0
1/25/24 12:53,0:30:20,32.9,32.9,61,92,100,7,0
1/25/24 12:53,0:30:21,32.9,32.9,60,93,100,8,0
1/25/24 12:53,0:30:22,32.9,32.9,61,90,100,7,0
1/25/24 12:53,0:30:23,32.9,32.9,61,90,100,8,0
1/25/24 12:53,0:30:25,33,32.9,61,95,100,8,0
1/25/24 12:53,0:30:26,33,32.9,60,92,100,8,0
1/25/24 12:53,0:30:27,33,32.9,61,89,100,8,0
1/25/24 12:53,0:30:28,33,32.9,61,88,100,7,0
1/25/24 12:53,0:30:29,33,32.9,61,84,100,8,0
1/25/24 12:53,0:30:30,33,32.9,61,89,100,7,0
1/25/24 12:53,0:30:31,33,32.9,61,89,100,8,0
1/25/24 12:53,0:30:32,33,33,61,87,100,8,0
1/25/24 12:54,0:30:33,33,33,61,78,100,8,0
1/25/24 12:54,0:30:34,33,33,62,87,100,7,0
1/25/24 12:54,0:30:35,33,33,62,78,100,8,0
1/25/24 12:54,0:30:36,33,33,62,79,100,8,0
1/25/24 12:54,0:30:37,33.1,33,61,89,100,8,0
1/25/24 12:54,0:30:38,33.1,33,63,90,100,8,0
1/25/24 12:54,0:30:39,33.1,33,62,89,100,7,0
1/25/24 12:54,0:30:40,33.1,33,61,86,100,8,0
1/25/24 12:54,0:30:41,33.1,33,62,84,100,8,0
1/25/24 12:54,0:30:42,33.1,33,62,83,100,8,0
1/25/24 12:54,0:30:43,33.1,33,62,81,100,8,0
1/25/24 12:54,0:30:44,33.1,33,62,89,100,8,0
1/25/24 12:54,0:30:45,33.1,33.1,63,84,100,8,0
1/25/24 12:54,0:30:46,33.1,33.1,63,84,100,7,0
1/25/24 12:54,0:30:47,33.1,33.1,63,84,100,9,0
1/25/24 12:54,0:30:48,33.1,33.1,63,85,100,8,0
1/25/24 12:54,0:30:49,33.2,33.1,63,94,100,7,0
1/25/24 12:54,0:30:50,33.2,33.1,63,84,100,7,0
1/25/24 12:54,0:30:51,33.2,33.1,63,91,100,7,0
1/25/24 12:54,0:30:52,33.2,33.1,63,86,100,7,0
1/25/24 12:54,0:30:53,33.2,33.1,64,87,100,8,0
1/25/24 12:54,0:30:54,33.2,33.1,64,90,100,8,0
1/25/24 12:54,0:30:55,33.2,33.1,63,90,100,7,0
1/25/24 12:54,0:30:56,33.2,33.2,64,87,100,8,0
1/25/24 12:54,0:30:57,33.2,33.2,64,100,100,8,0
1/25/24 12:54,0:30:58,33.2,33.2,64,91,100,8,0
1/25/24 12:54,0:30:59,33.2,33.2,64,98,100,8,0
1/25/24 12:54,0:31:00,33.2,33.2,64,94,100,8,0
1/25/24 12:54,0:31:01,33.3,33.2,64,92,100,9,0
1/25/24 12:54,0:31:02,33.3,33.2,64,89,100,8,0
1/25/24 12:54,0:31:03,33.3,33.2,64,93,100,8,0
1/25/24 12:54,0:31:04,33.3,33.2,64,89,100,8,0
1/25/24 12:54,0:31:05,33.3,33.2,65,92,100,7,0
1/25/24 12:54,0:31:06,33.3,33.2,65,87,100,8,0
1/25/24 12:54,0:31:07,33.3,33.2,65,88,100,8,0
1/25/24 12:54,0:31:08,33.3,33.2,65,87,100,8,0
1/25/24 12:54,0:31:09,33.3,33.2,65,86,100,8,0
1/25/24 12:54,0:31:10,33.3,33.3,66,91,100,8,0
1/25/24 12:54,0:31:11,33.3,33.3,66,97,100,8,0
1/25/24 12:54,0:31:12,33.3,33.3,66,91,100,7,0
1/25/24 12:54,0:31:13,33.4,33.3,66,94,100,8,0
1/25/24 12:54,0:31:14,33.4,33.3,66,90,100,7,0
1/25/24 12:54,0:31:15,33.4,33.3,66,100,100,8,0
1/25/24 12:54,0:31:16,33.4,33.3,66,91,100,7,0
1/25/24 12:54,0:31:17,33.4,33.3,66,99,100,8,0
1/25/24 12:54,0:31:18,33.4,33.3,66,97,100,7,0
1/25/24 12:54,0:31:19,33.4,33.3,67,98,100,8,0
1/25/24 12:54,0:31:20,33.4,33.3,67,98,100,8,0
1/25/24 12:54,0:31:21,33.4,33.3,67,98,100,8,0
1/25/24 12:54,0:31:22,33.4,33.4,67,97,100,8,0
1/25/24 12:54,0:31:23,33.4,33.4,67,97,100,8,0
1/25/24 12:54,0:31:24,33.5,33.4,67,98,100,8,0
1/25/24 12:54,0:31:25,33.5,33.4,67,97,100,7,0
1/25/24 12:54,0:31:26,33.5,33.4,67,98,100,8,0
1/25/24 12:54,0:31:27,33.5,33.4,68,97,100,8,0
1/25/24 12:54,0:31:28,33.5,33.4,67,97,100,8,0
1/25/24 12:54,0:31:29,33.5,33.4,67,97,100,8,0
1/25/24 12:54,0:31:30,33.5,33.4,68,97,100,8,0
1/25/24 12:54,0:31:31,33.5,33.4,68,97,100,8,0
1/25/24 12:54,0:31:32,33.5,33.5,68,97,100,8,0
1/25/24 12:55,0:31:33,33.5,33.5,68,97,100,8,0
1/25/24 12:55,0:31:34,33.5,33.5,68,96,100,7,0
1/25/24 12:55,0:31:35,33.5,33.5,68,96,100,7,0
1/25/24 12:55,0:31:36,33.6,33.5,69,96,100,8,0
1/25/24 12:55,0:31:37,33.6,33.5,69,96,100,7,0
1/25/24 12:55,0:31:39,33.6,33.5,69,96,100,8,0
1/25/24 12:55,0:31:40,33.6,33.5,69,97,100,8,0
1/25/24 12:55,0:31:41,33.6,33.5,69,97,100,7,0
1/25/24 12:55,0:31:42,33.6,33.5,69,96,100,8,0
1/25/24 12:55,0:31:43,33.6,33.5,69,95,100,8,0
