Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona,,,,,,,
Project,MA-P4VP-1-Butanol-Acetone-Ethyl acetate-2,4,6-TrimethylPyridine,,,,,
Reactor1,15.17 mg/ml P4VP in 1-Butanol,,,,,,,
Reactor2,14.86 mg/ml P4VP in Acetone,,,,,,,
Reactor3,14.59 mg/ml P4VP in Ethyl acetate,,,,,,,
Reactor4,15.53 mg/ml P4VP in 2,4,6-TrimethylPyridine,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,P4VP:41,,,,,,,
solvent_ids,1-butanol:6,Acetone:16,Ethyl acetate:19,"2,4,6-TrimethylPyridine:44",,,,
Start of Experiment,9/28/23 12:05,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,B,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,13, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,183, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
9/28/23 12:05,0:00:00,24.9,24.9,100,100,100,100,0
9/28/23 12:05,0:00:01,24.9,24.9,100,100,100,100,0
9/28/23 12:06,0:00:02,24.5,24.9,100,100,100,100,0
9/28/23 12:06,0:00:03,24.2,24.9,100,100,100,100,0
9/28/23 12:06,0:00:04,23.9,24.9,100,100,100,100,0
9/28/23 12:06,0:00:05,23.5,24.8,100,100,100,100,0
9/28/23 12:06,0:00:06,23.2,24.7,100,100,100,100,0
9/28/23 12:06,0:00:07,22.9,24.6,100,100,100,100,0
9/28/23 12:06,0:00:08,22.2,24.3,100,100,100,100,0
9/28/23 12:06,0:00:09,21.9,24.1,100,100,100,100,0
9/28/23 12:06,0:00:10,21.5,23.9,100,100,100,100,0
9/28/23 12:06,0:00:11,21.2,23.7,100,100,100,100,0
9/28/23 12:06,0:00:12,20.9,23.5,100,100,100,100,0
9/28/23 12:06,0:00:13,20.5,23.3,100,100,100,100,0
9/28/23 12:06,0:00:14,20.2,23,100,100,100,100,0
9/28/23 12:06,0:00:15,20,22.8,100,100,100,100,0
9/28/23 12:06,0:00:16,20,22.5,100,100,100,100,0
9/28/23 12:06,0:00:17,20,22.3,100,100,100,100,0
9/28/23 12:06,0:00:18,20,22,100,100,100,100,0
9/28/23 12:06,0:00:19,20,21.8,100,100,100,100,0
9/28/23 12:06,0:00:20,20,21.6,100,100,100,100,0
9/28/23 12:06,0:00:21,20,21.4,100,100,100,100,0
9/28/23 12:06,0:00:22,20,21.3,100,100,100,100,0
9/28/23 12:06,0:00:23,20,21.1,100,100,100,100,0
9/28/23 12:06,0:00:24,20,21,100,100,100,100,0
9/28/23 12:06,0:00:25,20,20.9,100,100,100,100,0
9/28/23 12:06,0:00:26,20,20.8,100,100,100,100,0
9/28/23 12:06,0:00:27,20,20.7,100,100,100,100,0
9/28/23 12:06,0:00:28,20,20.7,100,100,100,100,0
9/28/23 12:06,0:00:29,20,20.6,100,100,100,100,0
9/28/23 12:06,0:00:32,20,20.4,100,100,100,100,0
9/28/23 12:06,0:00:33,20,20.4,100,100,100,100,0
9/28/23 12:06,0:00:34,20,20.3,100,100,100,100,0
9/28/23 12:06,0:00:37,20,20.3,100,100,100,100,0
9/28/23 12:06,0:00:38,20,20.2,100,100,100,100,0
9/28/23 12:06,0:00:47,20,20.2,100,100,100,100,0
9/28/23 12:06,0:00:48,20,20.1,100,100,100,100,0
9/28/23 12:06,0:00:50,20,20.1,100,100,100,100,0
9/28/23 12:06,0:00:57,20,20.1,100,100,100,100,0
9/28/23 12:06,0:00:58,20,20.1,54,100,100,100,0
9/28/23 12:07,0:01:01,20,20.1,54,100,100,100,0
9/28/23 12:07,0:01:08,20,20.1,54,100,100,100,0
9/28/23 12:07,0:01:09,20,20,54,100,100,100,0
9/28/23 12:07,0:01:10,20,20,54,100,100,100,0
9/28/23 12:07,0:01:11,20,20.1,54,100,100,100,0
9/28/23 12:07,0:01:12,20,20,54,100,100,100,0
9/28/23 12:07,0:01:54,20,20,54,100,100,100,0
9/28/23 12:07,0:01:55,20,20,100,100,100,100,0
9/28/23 12:07,0:01:56,20,20,100,62,100,100,0
9/28/23 12:07,0:01:59,20,20,100,62,100,100,0
9/28/23 12:07,0:02:00,20,20.1,100,62,100,100,0
9/28/23 12:08,0:02:06,20,20.1,100,62,100,100,0
9/28/23 12:08,0:02:07,20,20,100,62,100,100,0
9/28/23 12:08,0:02:27,20,20,100,62,100,100,0
9/28/23 12:08,0:02:30,20,20,100,62,100,100,0
9/28/23 12:08,0:02:31,20,20,100,100,100,100,0
9/28/23 12:08,0:02:32,20,20,100,100,62,100,0
9/28/23 12:08,0:02:34,20,20,100,100,62,100,0
9/28/23 12:08,0:02:35,20,20,100,100,62,100,0
9/28/23 12:08,0:02:37,20,20,100,100,62,100,0
9/28/23 12:09,0:03:02,20,20,100,100,62,100,0
9/28/23 12:09,0:03:03,20,20,100,100,100,71,0
9/28/23 12:09,0:03:04,20,20,100,100,100,60,0
9/28/23 12:09,0:03:14,20,20,100,100,100,60,0
9/28/23 12:09,0:03:38,20,20,100,100,100,60,0
9/28/23 12:09,0:03:39,20,20,100,100,100,1,0
9/28/23 12:09,0:03:40,20,20,54,100,100,1,0
9/28/23 12:09,0:03:46,20,20,54,100,100,1,0
9/28/23 12:09,0:03:47,20,20,100,100,100,1,0
9/28/23 12:09,0:03:50,20,20,100,100,100,1,0
9/28/23 12:10,0:04:02,20.1,20,100,100,100,1,0
9/28/23 12:10,0:04:05,20.1,20,100,100,100,1,0
9/28/23 12:10,0:04:08,20.1,20,100,100,100,1,0
9/28/23 12:10,0:04:10,20.1,20,100,100,100,1,0
9/28/23 12:10,0:04:11,20.1,20,100,100,100,1,0
9/28/23 12:10,0:04:12,20.1,20.1,100,100,100,1,0
9/28/23 12:10,0:04:14,20.2,20.1,100,100,100,1,0
9/28/23 12:10,0:04:26,20.3,20.1,100,100,100,1,0
9/28/23 12:10,0:04:27,20.3,20.2,100,100,100,1,0
9/28/23 12:10,0:04:38,20.4,20.2,100,100,100,1,0
9/28/23 12:10,0:04:39,20.4,20.3,100,100,100,1,0
9/28/23 12:10,0:04:50,20.5,20.3,100,100,100,1,0
9/28/23 12:10,0:04:51,20.5,20.3,100,100,100,1,0
9/28/23 12:10,0:04:52,20.5,20.4,100,100,100,1,0
9/28/23 12:11,0:05:01,20.6,20.4,100,100,100,1,0
9/28/23 12:11,0:05:02,20.6,20.4,100,100,100,1,0
9/28/23 12:11,0:05:03,20.6,20.5,100,100,100,1,0
9/28/23 12:11,0:05:14,20.7,20.5,100,100,100,1,0
9/28/23 12:11,0:05:16,20.7,20.5,100,100,100,1,0
9/28/23 12:11,0:05:17,20.7,20.6,100,100,100,1,0
9/28/23 12:11,0:05:26,20.8,20.6,100,100,100,1,0
9/28/23 12:11,0:05:28,20.8,20.6,100,100,100,1,0
9/28/23 12:11,0:05:29,20.8,20.7,100,100,100,1,0
9/28/23 12:11,0:05:38,20.9,20.7,100,100,100,1,0
9/28/23 12:11,0:05:40,20.9,20.7,100,100,100,1,0
9/28/23 12:11,0:05:41,20.9,20.8,100,100,100,1,0
9/28/23 12:11,0:05:50,21,20.8,100,100,100,1,0
9/28/23 12:11,0:05:51,21,20.8,100,100,100,1,0
9/28/23 12:11,0:05:52,21,20.9,100,100,100,1,0
9/28/23 12:12,0:06:02,21.1,20.9,100,100,100,1,0
9/28/23 12:12,0:06:03,21.1,20.9,100,100,100,1,0
9/28/23 12:12,0:06:04,21.1,21,100,100,100,1,0
9/28/23 12:12,0:06:09,21.1,21,100,100,100,1,0
9/28/23 12:12,0:06:11,21.1,21,100,100,100,1,0
9/28/23 12:12,0:06:13,21.2,21,100,100,100,1,0
9/28/23 12:12,0:06:14,21.2,21.1,100,100,100,1,0
9/28/23 12:12,0:06:15,21.2,21.1,100,100,100,1,0
9/28/23 12:12,0:06:21,21.2,21.1,100,100,100,1,0
9/28/23 12:12,0:06:22,21.2,21.1,100,100,100,1,0
9/28/23 12:12,0:06:24,21.2,21.1,100,100,100,1,0
9/28/23 12:12,0:06:25,21.2,21.1,100,100,100,1,0
9/28/23 12:12,0:06:26,21.3,21.2,100,100,100,1,0
9/28/23 12:12,0:06:37,21.3,21.2,100,100,100,1,0
9/28/23 12:12,0:06:38,21.4,21.3,100,100,100,1,0
9/28/23 12:12,0:06:39,21.4,21.2,100,100,100,1,0
9/28/23 12:12,0:06:40,21.4,21.3,100,100,100,1,0
9/28/23 12:12,0:06:49,21.4,21.3,100,100,100,1,0
9/28/23 12:12,0:06:50,21.5,21.4,100,100,100,1,0
9/28/23 12:13,0:07:02,21.6,21.4,100,100,100,1,0
9/28/23 12:13,0:07:04,21.6,21.4,100,100,100,1,0
9/28/23 12:13,0:07:05,21.6,21.5,100,100,100,1,0
9/28/23 12:13,0:07:07,21.6,21.5,100,100,100,1,0
9/28/23 12:13,0:07:09,21.6,21.5,100,100,100,1,0
9/28/23 12:13,0:07:14,21.7,21.5,100,100,100,1,0
9/28/23 12:13,0:07:15,21.7,21.6,100,100,100,1,0
9/28/23 12:13,0:07:21,21.7,21.6,100,100,100,1,0
9/28/23 12:13,0:07:22,21.7,21.6,100,100,100,1,0
9/28/23 12:13,0:07:24,21.7,21.6,100,100,100,1,0
9/28/23 12:13,0:07:25,21.8,21.6,100,100,100,1,0
9/28/23 12:13,0:07:26,21.8,21.6,100,100,100,1,0
9/28/23 12:13,0:07:27,21.8,21.7,100,100,100,1,0
9/28/23 12:13,0:07:30,21.8,21.7,100,100,100,1,0
9/28/23 12:13,0:07:31,21.8,21.7,100,100,100,1,0
9/28/23 12:13,0:07:37,21.9,21.7,100,100,100,1,0
9/28/23 12:13,0:07:38,21.9,21.8,100,100,100,1,0
9/28/23 12:13,0:07:50,22,21.8,100,100,100,1,0
9/28/23 12:13,0:07:51,22,21.8,100,100,100,1,0
9/28/23 12:13,0:07:52,22,21.9,100,100,100,1,0
9/28/23 12:13,0:07:53,22,21.9,100,100,100,1,0
9/28/23 12:13,0:07:54,22,21.9,100,100,100,1,0
9/28/23 12:13,0:07:55,22,21.9,100,100,100,1,0
9/28/23 12:14,0:08:01,22,21.9,100,100,100,1,0
9/28/23 12:14,0:08:02,22.1,21.9,100,100,100,1,0
9/28/23 12:14,0:08:03,22.1,21.9,100,100,100,1,0
9/28/23 12:14,0:08:04,22.1,21.9,100,100,100,1,0
9/28/23 12:14,0:08:05,22.1,22,100,100,100,1,0
9/28/23 12:14,0:08:12,22.1,22,100,100,100,1,0
9/28/23 12:14,0:08:14,22.2,22,100,100,100,1,0
9/28/23 12:14,0:08:15,22.2,22,100,100,100,1,0
9/28/23 12:14,0:08:16,22.2,22,100,100,100,1,0
9/28/23 12:14,0:08:17,22.2,22.1,100,100,100,1,0
9/28/23 12:14,0:08:19,22.2,22.1,100,100,100,1,0
9/28/23 12:14,0:08:22,22.2,22.1,100,100,100,1,0
9/28/23 12:14,0:08:23,22.2,22.1,100,100,100,2,0
9/28/23 12:14,0:08:24,22.2,22.1,100,100,100,1,0
9/28/23 12:14,0:08:25,22.2,22.1,100,100,100,1,0
9/28/23 12:14,0:08:26,22.3,22.1,100,100,100,1,0
9/28/23 12:14,0:08:27,22.3,22.1,100,100,100,2,0
9/28/23 12:14,0:08:28,22.3,22.1,100,100,100,1,0
9/28/23 12:14,0:08:29,22.3,22.2,100,100,100,1,0
9/28/23 12:14,0:08:30,22.3,22.2,100,100,100,1,0
9/28/23 12:14,0:08:31,22.3,22.2,100,100,100,1,0
9/28/23 12:14,0:08:32,22.3,22.2,100,100,100,1,0
9/28/23 12:14,0:08:33,22.3,22.2,100,100,100,2,0
9/28/23 12:14,0:08:34,22.3,22.2,100,100,100,1,0
9/28/23 12:14,0:08:35,22.3,22.2,100,100,100,2,0
9/28/23 12:14,0:08:36,22.3,22.2,100,100,100,1,0
9/28/23 12:14,0:08:37,22.4,22.2,100,100,100,1,0
9/28/23 12:14,0:08:38,22.4,22.2,100,100,100,2,0
9/28/23 12:14,0:08:39,22.4,22.2,100,100,100,1,0
9/28/23 12:14,0:08:40,22.4,22.3,100,100,100,1,0
9/28/23 12:14,0:08:41,22.4,22.3,100,100,100,2,0
9/28/23 12:14,0:08:42,22.4,22.3,100,100,100,1,0
9/28/23 12:14,0:08:44,22.4,22.3,100,100,100,1,0
9/28/23 12:14,0:08:45,22.4,22.3,100,100,100,2,0
9/28/23 12:14,0:08:48,22.4,22.3,100,100,100,2,0
9/28/23 12:14,0:08:49,22.5,22.3,100,100,100,2,0
9/28/23 12:14,0:08:50,22.5,22.3,100,100,100,1,0
9/28/23 12:14,0:08:51,22.5,22.3,100,100,100,2,0
9/28/23 12:14,0:08:52,22.5,22.4,100,100,100,1,0
9/28/23 12:14,0:08:53,22.5,22.4,100,100,100,2,0
9/28/23 12:14,0:08:54,22.5,22.4,100,100,100,2,0
9/28/23 12:14,0:08:55,22.5,22.4,100,100,100,1,0
9/28/23 12:14,0:08:56,22.5,22.4,100,100,100,2,0
9/28/23 12:14,0:08:57,22.5,22.4,100,100,100,2,0
9/28/23 12:14,0:09:00,22.5,22.4,100,100,100,2,0
9/28/23 12:15,0:09:01,22.6,22.4,100,100,100,2,0
9/28/23 12:15,0:09:02,22.6,22.4,100,100,100,2,0
9/28/23 12:15,0:09:04,22.6,22.4,100,100,100,2,0
9/28/23 12:15,0:09:05,22.6,22.5,100,100,100,2,0
9/28/23 12:15,0:09:06,22.6,22.5,100,100,100,2,0
9/28/23 12:15,0:09:07,22.6,22.5,100,100,100,2,0
9/28/23 12:15,0:09:09,22.6,22.5,100,100,100,2,0
9/28/23 12:15,0:09:10,22.6,22.5,100,100,100,2,0
9/28/23 12:15,0:09:12,22.6,22.5,100,100,100,2,0
9/28/23 12:15,0:09:13,22.7,22.5,100,100,100,2,0
9/28/23 12:15,0:09:16,22.7,22.5,100,100,100,2,0
9/28/23 12:15,0:09:17,22.7,22.6,100,100,100,2,0
9/28/23 12:15,0:09:21,22.7,22.6,100,100,100,2,0
9/28/23 12:15,0:09:26,22.8,22.6,100,100,100,2,0
9/28/23 12:15,0:09:28,22.8,22.6,100,100,100,2,0
9/28/23 12:15,0:09:29,22.8,22.7,100,100,100,2,0
9/28/23 12:15,0:09:33,22.8,22.7,100,100,100,2,0
9/28/23 12:15,0:09:34,22.8,22.8,100,100,100,2,0
9/28/23 12:15,0:09:35,22.8,22.8,100,100,100,2,0
9/28/23 12:15,0:09:36,22.8,22.8,100,100,100,2,0
9/28/23 12:15,0:09:37,22.8,22.7,100,100,100,2,0
9/28/23 12:15,0:09:38,22.9,22.7,100,100,100,2,0
9/28/23 12:15,0:09:39,22.9,22.7,100,100,100,2,0
9/28/23 12:15,0:09:40,22.9,22.7,100,100,100,2,0
9/28/23 12:15,0:09:41,22.9,22.8,100,100,100,2,0
9/28/23 12:15,0:09:45,22.9,22.8,100,100,100,2,0
9/28/23 12:15,0:09:46,22.9,22.9,100,100,100,2,0
9/28/23 12:15,0:09:48,22.9,22.9,100,100,100,2,0
9/28/23 12:15,0:09:49,22.9,22.8,100,100,100,2,0
9/28/23 12:15,0:09:50,23,22.8,100,100,100,2,0
9/28/23 12:15,0:09:51,23,22.8,100,100,100,2,0
9/28/23 12:15,0:09:52,23,22.9,100,100,100,2,0
9/28/23 12:15,0:09:56,23,22.9,100,100,100,2,0
9/28/23 12:15,0:09:57,23,23,100,100,100,2,0
9/28/23 12:15,0:09:59,23,23,100,100,100,2,0
9/28/23 12:15,0:10:00,23,22.9,100,100,100,2,0
9/28/23 12:16,0:10:01,23.1,22.9,100,100,100,2,0
9/28/23 12:16,0:10:03,23.1,22.9,100,100,100,2,0
9/28/23 12:16,0:10:04,23.1,23,100,100,100,2,0
9/28/23 12:16,0:10:07,23.1,23,100,100,100,2,0
9/28/23 12:16,0:10:08,23.1,23.1,100,100,100,2,0
9/28/23 12:16,0:10:09,23.1,23.1,100,100,100,2,0
9/28/23 12:16,0:10:10,23.1,23.1,100,100,100,2,0
9/28/23 12:16,0:10:13,23.2,23.1,100,100,100,2,0
9/28/23 12:16,0:10:19,23.2,23.1,100,100,100,2,0
9/28/23 12:16,0:10:20,23.2,23.2,100,100,100,2,0
9/28/23 12:16,0:10:25,23.3,23.2,100,100,100,2,0
9/28/23 12:16,0:10:31,23.3,23.2,100,100,100,2,0
9/28/23 12:16,0:10:32,23.3,23.3,100,100,100,2,0
9/28/23 12:16,0:10:36,23.3,23.3,100,100,100,2,0
9/28/23 12:16,0:10:37,23.3,23.2,100,100,100,2,0
9/28/23 12:16,0:10:38,23.4,23.3,100,100,100,2,0
9/28/23 12:16,0:10:43,23.4,23.3,100,100,100,2,0
9/28/23 12:16,0:10:44,23.4,23.4,100,100,100,2,0
9/28/23 12:16,0:10:50,23.5,23.4,100,100,100,2,0
9/28/23 12:16,0:10:56,23.5,23.4,100,100,100,2,0
9/28/23 12:16,0:10:57,23.5,23.5,100,100,100,2,0
9/28/23 12:17,0:11:02,23.6,23.5,100,100,100,2,0
9/28/23 12:17,0:11:07,23.6,23.5,100,100,100,2,0
9/28/23 12:17,0:11:08,23.6,23.6,100,100,100,2,0
9/28/23 12:17,0:11:13,23.7,23.6,100,100,100,2,0
9/28/23 12:17,0:11:19,23.7,23.6,100,100,100,2,0
9/28/23 12:17,0:11:20,23.7,23.7,100,100,100,2,0
9/28/23 12:17,0:11:25,23.8,23.7,100,100,100,2,0
9/28/23 12:17,0:11:32,23.8,23.7,100,100,100,2,0
9/28/23 12:17,0:11:33,23.8,23.8,100,100,100,2,0
9/28/23 12:17,0:11:37,23.9,23.8,100,100,100,2,0
9/28/23 12:17,0:11:44,23.9,23.8,100,100,100,2,0
9/28/23 12:17,0:11:45,23.9,23.9,100,100,100,2,0
9/28/23 12:17,0:11:49,24,23.9,100,100,100,2,0
9/28/23 12:17,0:11:53,24,23.9,100,100,100,2,0
9/28/23 12:17,0:11:54,24,24,100,100,100,2,0
9/28/23 12:18,0:12:02,24.1,24,100,100,100,2,0
9/28/23 12:18,0:12:05,24.1,24,100,100,100,2,0
9/28/23 12:18,0:12:06,24.1,24.1,100,100,100,2,0
9/28/23 12:18,0:12:14,24.2,24.1,100,100,100,2,0
9/28/23 12:18,0:12:19,24.2,24.1,100,100,100,2,0
9/28/23 12:18,0:12:20,24.2,24.2,100,100,100,2,0
9/28/23 12:18,0:12:25,24.3,24.2,100,100,100,2,0
9/28/23 12:18,0:12:32,24.3,24.2,100,100,100,2,0
9/28/23 12:18,0:12:33,24.3,24.3,100,100,100,2,0
9/28/23 12:18,0:12:37,24.4,24.3,100,100,100,2,0
9/28/23 12:18,0:12:47,24.4,24.3,100,100,100,2,0
9/28/23 12:18,0:12:48,24.4,24.4,100,100,100,2,0
9/28/23 12:18,0:12:49,24.5,24.4,100,100,100,2,0
9/28/23 12:19,0:13:01,24.6,24.4,100,100,100,2,0
9/28/23 12:19,0:13:06,24.6,24.4,100,100,100,2,0
9/28/23 12:19,0:13:07,24.6,24.5,100,100,100,2,0
9/28/23 12:19,0:13:14,24.7,24.5,100,100,100,2,0
9/28/23 12:19,0:13:18,24.7,24.5,100,100,100,2,0
9/28/23 12:19,0:13:19,24.7,24.6,100,100,100,2,0
9/28/23 12:19,0:13:25,24.7,24.6,100,100,100,2,0
9/28/23 12:19,0:13:26,24.8,24.6,100,100,100,3,0
9/28/23 12:19,0:13:27,24.8,24.6,100,100,100,2,0
9/28/23 12:19,0:13:29,24.8,24.6,100,100,100,2,0
9/28/23 12:19,0:13:30,24.8,24.7,100,100,100,2,0
9/28/23 12:19,0:13:37,24.9,24.7,100,100,100,2,0
9/28/23 12:19,0:13:39,24.9,24.7,100,100,100,2,0
9/28/23 12:19,0:13:40,24.9,24.8,100,100,100,2,0
9/28/23 12:19,0:13:43,24.9,24.8,100,100,100,2,0
9/28/23 12:19,0:13:44,24.9,24.8,100,100,100,3,0
9/28/23 12:19,0:13:45,24.9,24.8,100,100,100,2,0
9/28/23 12:19,0:13:46,24.9,24.8,100,100,100,2,0
9/28/23 12:19,0:13:47,24.9,24.8,100,100,100,3,0
9/28/23 12:19,0:13:48,24.9,24.8,100,100,100,2,0
9/28/23 12:19,0:13:49,25,24.8,100,100,100,3,0
9/28/23 12:19,0:13:51,25,24.8,100,100,100,3,0
9/28/23 12:19,0:13:52,25,24.8,100,100,100,2,0
9/28/23 12:19,0:13:53,25,24.9,100,100,100,2,0
9/28/23 12:19,0:13:54,25,24.9,100,100,100,2,0
9/28/23 12:19,0:13:55,25,24.9,100,100,100,3,0
9/28/23 12:19,0:13:56,25,24.9,100,100,100,2,0
9/28/23 12:19,0:13:59,25,24.9,100,100,100,2,0
9/28/23 12:19,0:14:00,25,24.9,100,100,100,3,0
9/28/23 12:20,0:14:01,25.1,24.9,100,100,100,3,0
9/28/23 12:20,0:14:03,25.1,24.9,100,100,100,3,0
9/28/23 12:20,0:14:04,25.1,24.9,100,100,100,2,0
9/28/23 12:20,0:14:05,25.1,25,100,100,100,3,0
9/28/23 12:20,0:14:06,25.1,25,100,100,100,3,0
9/28/23 12:20,0:14:07,25.1,25,100,100,100,2,0
9/28/23 12:20,0:14:08,25.1,25,100,100,100,3,0
9/28/23 12:20,0:14:12,25.1,25,100,100,100,3,0
9/28/23 12:20,0:14:13,25.2,25,100,100,100,2,0
9/28/23 12:20,0:14:15,25.2,25,100,100,100,2,0
9/28/23 12:20,0:14:16,25.2,25.1,100,100,100,3,0
9/28/23 12:20,0:14:19,25.2,25.1,100,100,100,3,0
9/28/23 12:20,0:14:20,25.2,25.1,100,100,100,3,0
9/28/23 12:20,0:14:21,25.2,25.1,100,100,100,3,0
9/28/23 12:20,0:14:26,25.3,25.1,100,100,100,3,0
9/28/23 12:20,0:14:27,25.3,25.1,100,100,100,2,0
9/28/23 12:20,0:14:28,25.3,25.1,100,100,100,3,0
9/28/23 12:20,0:14:29,25.3,25.1,100,100,100,3,0
9/28/23 12:20,0:14:30,25.3,25.2,100,100,100,3,0
9/28/23 12:20,0:14:34,25.3,25.2,100,100,100,3,0
9/28/23 12:20,0:14:35,25.3,25.3,100,100,100,3,0
9/28/23 12:20,0:14:36,25.3,25.2,100,100,100,3,0
9/28/23 12:20,0:14:37,25.3,25.2,100,100,100,3,0
9/28/23 12:20,0:14:38,25.4,25.2,100,100,100,3,0
9/28/23 12:20,0:14:40,25.4,25.2,100,100,100,3,0
9/28/23 12:20,0:14:41,25.4,25.3,100,100,100,3,0
9/28/23 12:20,0:14:44,25.4,25.3,100,100,100,3,0
9/28/23 12:20,0:14:45,25.4,25.4,100,100,100,3,0
9/28/23 12:20,0:14:46,25.4,25.4,100,100,100,3,0
9/28/23 12:20,0:14:47,25.4,25.3,100,100,100,3,0
9/28/23 12:20,0:14:49,25.5,25.3,100,100,100,3,0
9/28/23 12:20,0:14:50,25.5,25.3,100,100,100,3,0
9/28/23 12:20,0:14:51,25.5,25.4,100,100,100,3,0
9/28/23 12:20,0:14:56,25.5,25.4,100,100,100,3,0
9/28/23 12:20,0:14:57,25.5,25.5,100,100,100,3,0
9/28/23 12:20,0:14:58,25.5,25.4,100,100,100,3,0
9/28/23 12:20,0:15:00,25.5,25.4,100,100,100,3,0
9/28/23 12:21,0:15:01,25.6,25.5,100,100,100,3,0
9/28/23 12:21,0:15:06,25.6,25.5,100,100,100,3,0
9/28/23 12:21,0:15:07,25.6,25.6,100,100,100,3,0
9/28/23 12:21,0:15:11,25.6,25.6,100,100,100,3,0
9/28/23 12:21,0:15:12,25.6,25.5,100,100,100,3,0
9/28/23 12:21,0:15:13,25.7,25.6,100,100,100,3,0
9/28/23 12:21,0:15:17,25.7,25.6,100,100,100,3,0
9/28/23 12:21,0:15:18,25.7,25.6,100,100,100,3,0
9/28/23 12:21,0:15:19,25.7,25.7,100,100,100,3,0
9/28/23 12:21,0:15:22,25.7,25.7,100,100,100,3,0
9/28/23 12:21,0:15:23,25.7,25.7,100,100,100,3,0
9/28/23 12:21,0:15:25,25.8,25.7,100,100,100,3,0
9/28/23 12:21,0:15:27,25.8,25.7,100,100,100,3,0
9/28/23 12:21,0:15:30,25.8,25.7,100,100,100,3,0
9/28/23 12:21,0:15:31,25.8,25.8,100,100,100,3,0
9/28/23 12:21,0:15:32,25.8,25.8,100,100,100,4,0
9/28/23 12:21,0:15:33,25.8,25.8,100,100,100,4,0
9/28/23 12:21,0:15:34,25.8,25.8,100,100,100,3,0
9/28/23 12:21,0:15:35,25.8,25.8,100,100,100,4,0
9/28/23 12:21,0:15:36,25.8,25.8,100,100,100,3,0
9/28/23 12:21,0:15:37,25.9,25.8,100,100,100,4,0
9/28/23 12:21,0:15:38,25.9,25.8,100,100,100,3,0
9/28/23 12:21,0:15:39,25.9,25.8,100,100,100,4,0
9/28/23 12:21,0:15:40,25.9,25.8,100,100,100,4,0
9/28/23 12:21,0:15:41,25.9,25.8,100,100,100,4,0
9/28/23 12:21,0:15:42,25.9,25.9,100,100,100,4,0
9/28/23 12:21,0:15:43,25.9,25.9,100,100,100,4,0
9/28/23 12:21,0:15:44,25.9,25.9,100,100,100,3,0
9/28/23 12:21,0:15:45,25.9,25.9,100,100,100,4,0
9/28/23 12:21,0:15:47,25.9,25.9,100,100,100,3,0
9/28/23 12:21,0:15:48,25.9,25.9,100,100,100,4,0
9/28/23 12:21,0:15:49,25.9,25.9,100,100,100,4,0
9/28/23 12:21,0:15:50,26,25.9,100,100,100,4,0
9/28/23 12:21,0:15:54,26,25.9,100,100,100,4,0
9/28/23 12:21,0:15:55,26,25.9,100,100,100,4,0
9/28/23 12:21,0:15:56,26,26,100,100,100,4,0
9/28/23 12:21,0:15:57,26,26,100,100,100,4,0
9/28/23 12:21,0:15:58,26,26,100,100,100,4,0
9/28/23 12:21,0:15:59,26,26,100,100,100,3,0
9/28/23 12:21,0:16:00,26,26,100,100,100,4,0
9/28/23 12:22,0:16:01,26.1,26,100,100,100,4,0
9/28/23 12:22,0:16:03,26.1,26,100,100,100,4,0
9/28/23 12:22,0:16:04,26.1,26,100,100,100,4,0
9/28/23 12:22,0:16:05,26.1,26,100,100,100,4,0
9/28/23 12:22,0:16:06,26.1,26.1,100,100,100,4,0
9/28/23 12:22,0:16:07,26.1,26.1,100,100,100,4,0
9/28/23 12:22,0:16:08,26.1,26.1,100,100,100,4,0
9/28/23 12:22,0:16:10,26.1,26.1,100,100,100,4,0
9/28/23 12:22,0:16:11,26.1,26.1,100,100,100,4,0
9/28/23 12:22,0:16:13,26.2,26.1,100,100,100,4,0
9/28/23 12:22,0:16:14,26.2,26.1,100,100,100,4,0
9/28/23 12:22,0:16:15,26.2,26.1,100,100,100,3,0
9/28/23 12:22,0:16:16,26.2,26.1,100,100,100,4,0
9/28/23 12:22,0:16:19,26.2,26.1,100,100,100,4,0
9/28/23 12:22,0:16:20,26.2,26.2,100,100,100,4,0
9/28/23 12:22,0:16:22,26.2,26.2,100,100,100,4,0
9/28/23 12:22,0:16:23,26.2,26.2,100,100,100,4,0
